# Salesforceプレゼンテーション - トークスクリプト (OpenAI Whisper使用)
# 生成日時: 2025-05-11 10:48:44
# モデル: medium

##
スライド1: タイトル ＆ はじめに
[03:04.84 → 03:07.42] 今どの段階なのかっていうのがパッと分かるように
[03:07.42 → 03:08.38] うんうん
[03:08.38 → 03:12.70] あと日々の活動も記録してチーム内で共有できる基盤を作る
[03:12.70 → 03:16.70] これが組織的な営業活動の土台になるわけですね
スライド6: 具体的な仕組み②：柔軟なシステム構成
[03:16.70 → 03:19.70] システムの構成についてもちょっとだけ触れておきましょうか
[03:20.26 → 03:20.34] ええ
[03:20.34 → 03:24.08] 基本はセールスフォースに標準で用意されてる情報の箱
[03:24.08 → 03:26.24] いわゆる標準オブジェクトですよね
[03:26.24 → 03:28.30] 取引先とか商談活動
[03:28.30 → 03:28.96] そうですね
[03:28.96 → 03:30.48] 基本的なものはそろってます
[03:30.48 → 03:35.20] これに加えてこのプロジェクトでは独自にアカウントプラン
[03:35.20 → 03:39.08] つまりその取引先をどう攻略していくかの箱
[03:39.08 → 03:41.18] カスタムオブジェクトっていうんでしたっけ
[03:41.18 → 03:43.26] ええそうですカスタムオブジェクト
[03:43.26 → 03:45.64] これも作って情報を整理している
[03:46.04 → 03:51.18] はいこの情報の箱つまりオブジェクトの設計っていうのが実はすごく重要でして
[03:51.58 → 03:53.36] 資料にも例がありますけど
[03:53.36 → 03:59.68] 例えばA社に関する進行中のB案件について最近やったC活動みたいな感じで
[03:59.68 → 04:03.72] 関連する情報がちゃんと線でつながるように構成されてるんです
[04:03.72 → 04:08.12] ああなるほどだから必要な情報にすぐたどりつけると
[04:08.12 → 04:09.22] そういうことです
[04:09.22 → 04:12.34] 情報が点じゃなくて線でつながるイメージですね
[04:12.34 → 04:18.06] でこのアカウントプランみたいに自分たちのビジネスに必要な独自の箱を作れるっていうのも
[04:18.06 → 04:21.86] セールスフォースの柔軟性を示す良い点かなと思います
[04:21.86 → 04:26.02] 確かに標準だけじゃなくて自社に合わせられるのは大きいですね
スライド7: 具体的な仕組み③：ユーザー目線の工夫
[04:26.52 → 04:29.64] あと実際に使う人のことも考えられてますよね
[04:29.64 → 04:30.89] 使いやすさ
[04:30.89 → 04:33.12] ええそれは非常に重要です
[04:33.12 → 04:34.74] 継続利用の鍵ですから
[04:34.74 → 04:37.32] 画面の上の方ヘッダーでしたっけ
[04:37.32 → 04:43.08] そこで重要情報がすぐ分かったり関連する情報がタブできれいに整理されてたり
[04:43.08 → 04:47.58] はいパッと見て分かりやすい直感的に操作できるっていうのは大事ですね
スライド8: 具体的な仕組み④：データ品質とセキュリティ 
[04:47.58 → 04:50.86] あとはデータの質これも気になりますよね
[04:50.86 → 04:54.58] せっかく入力してもデータがぐちゃぐちゃだと意味ないですし
[04:54.58 → 04:58.94] まさにデータの質はシステムの生命線とも言えますね
[04:58.94 → 05:03.64] 資料だと入力規則とか情福ルールっていうのが挙げられてましたね
[05:04.45 → 05:09.70] 例えば見積もり金額は必ず入れてくださいねっていうルール入力規則とか
[05:09.70 → 05:14.24] 同じお客さんを二重に登録しちゃわないようにチェックする仕組み情福ルールとか
[05:14.24 → 05:17.24] なるほどミスやWを防ぐわけですね
スライド9: アクセス権管理
[05:17.24 → 05:26.26] そうですそれに加えて誰がどの情報にアクセスできるかっていうアクセス権限の設定これのすごく重要です
[05:27.00 → 05:29.46] セキュリティとかそういう観点ですね
[05:30.18 → 05:38.86] プロファイルとかロール階層っていう仕組みで例えばマネージャーは部下のデータは見れるけど同僚のデータは見れないようにとか
[05:38.86 → 05:39.78] ふむふむ
[05:39.78 → 05:46.50] そういう設定をすることで必要な人が必要な情報に安全にアクセスできる環境を整えるわけです
[05:46.50 → 05:50.32] 情報の安全性と利便性を両立させる感じですね
[05:50.82 → 05:53.42] なるほどいろいろな工夫がされてるんですね
スライド10: 期待される導入効果
[05:53.82 → 05:58.86] でこういうシステムを入れることで最終的にどんな成果が期待できるんでしょうか
[05:58.86 → 05:59.46] はい
[05:59.46 → 06:03.84] 資料では情報共有の促進と俗人化の解消
[06:03.84 → 06:04.86] まずこれですね
[06:05.54 → 06:08.88] それから商談プロセス活動状況の可視化
[06:08.88 → 06:10.38] 見えるようになると
[06:10.38 → 06:14.24] そしてデータ品質の向上この3つが挙げられてました
[06:14.91 → 06:20.92] これらが実現することでまず組織全体で情報がスミューズに共有されるようになりますよね
[06:20.92 → 06:21.86] うんうん
[06:21.86 → 06:24.10] それから状況がリアルタイムで見えるようになる
[06:24.10 → 06:24.58] はい
[06:24.58 → 06:27.40] そしてその元になるデータの侵害性が高まる
[06:27.40 → 06:32.66] これが結果としてより的確な意思決定とか次のアクションにつながっていくというわけです
[06:33.42 → 06:33.74] なるほど
[06:33.74 → 06:38.94] 特に今まで見えなかったものが見えるようになるっていうのはインパクト大きいでしょうね
[06:38.94 → 06:39.78] そう思います
スライド11: まとめと次のステップ 
[06:39.78 → 06:44.94] というわけで今回はセールスフォースが顧客管理の課題をどう解決するのか
[06:44.94 → 06:48.34] その基本的な考え方と仕組みのポイントを見てきました
[06:48.84 → 06:51.18] 情報を一か所に集めて見えるかする
[06:51.18 → 06:56.28] これがセールスフォースの革新的な価値なんだなっていうのが少しでも伝わったら嬉しいですね
[06:56.28 → 06:56.86] そうですね
[06:57.42 → 07:02.52] 理論だけじゃなくて実際にどう動くのかを見るとさらに理解が深まると思うんです
[07:02.52 → 07:03.52] 確かに
[07:03.52 → 07:07.28] この後のデモンストレーションでは例えば資料にもシナリオがありましたけど
[07:07.98 → 07:13.34] 営業担当者の視点で日常の活動をさっと簡単に入力する流れとか
[07:13.68 → 07:19.28] あるいはマネージャーの視点でチーム全体の商談が今どうなってるか
[07:19.86 → 07:22.90] パイプラインをレポートで一目で把握する様子とか
[07:22.90 → 07:26.92] なるほど役割によって見え方や使い方が違うわけですね
[07:27.98 → 07:32.40] そういうのを具体的に見ていただくとよりイメージがわくんじゃないかなと
オプション (12枚目): 将来展望
[07:32.40 → 07:41.90] そうですねそしてさらに一歩進んで考えるとこうして蓄積された質の高いデータを将来的に分析していくことで
[07:43.02 → 07:50.82] 例えばどういう活動パターンが受注につながりやすいのかとかこれまで何か勘とか経験に頼ってた部分ってあるじゃないですか
[07:50.82 → 07:51.92] ありますね
[07:51.92 → 07:59.56] そういうところにデータに基づいた新しい発見とか動作が得られる可能性もあるのかななんて
[07:59.56 → 08:06.52] まさに将来的な分析機能の強化という話ですねそれは非常に面白い視点だと思います
[08:07.16 → 08:10.88] ええそのあたりも想像してみると夢が広がりますよね
[08:10.88 → 08:16.14] さてじゃあ次は実際にこのシステムが動く様子を具体的に見ていくことにしましょうか
[08:16.14 → 08:16.78] はい是非

